 	Area	X	Y
1	23	640.457	18.848
2	16	560.812	27.812
3	26	552	34.885
4	35	631.557	37.557
5	32	575.281	39.781
6	42	526.738	50.690
7	19	614.079	55.868
8	30	633.533	58.733
9	26	581.769	70.269
10	22	620.500	72.136
11	26	564.038	73.923
12	34	586.882	84.294
13	31	554.177	93.177
14	13	655.192	100.269
15	15	608.767	103.767
16	24	581.833	106.875
17	33	623.985	121.894
18	39	521.115	124.808
19	25	641.340	129.380
20	27	510.611	141.537
21	33	628.833	147.621
22	9	517.611	147.056
23	11	525.955	167.955
24	13	569.346	168.731
25	41	527.841	176.354
26	45	540.656	183.100
27	40	638.025	181.650
28	40	583.975	190.575
29	21	501.690	217.929
30	33	575.955	220.530
31	40	546.125	241.100
32	30	520.600	241.567
33	18	572.944	260.556
34	23	503.978	266.630
35	44	526.636	269.795
36	32	514.250	281.062
37	35	590.643	281.757
38	33	538.985	296.924
39	5	534.100	311.500
40	19	479.447	314.553
41	37	585.554	320.203
42	6	557.167	326
43	18	476.611	330.778
44	17	594.382	333.853
45	30	508.300	347.300
46	23	537.587	346.717
47	24	531.500	350.625
48	32	488.719	353.969
49	34	581.059	358.500
50	40	556.125	372.175
51	19	599.026	373.237
52	36	524.639	383.389
53	26	605.808	386.308
54	45	497.633	402.811
55	41	552.037	416.622
56	11	589.682	419.864
57	8	522	420.500
58	37	564.527	423.716
59	22	510.773	424.864
60	13	560.885	432.192
61	22	492.273	454.500
62	25	556.220	461.260
63	14	491	465.143
64	35	504.357	475.500
65	30	457	481.367
66	18	528.667	485.111
67	25	575.220	486.180
68	37	486.824	490.662
69	4	587.250	490.250
70	33	545.985	500.106
71	26	454.500	506.769
72	24	488.625	508
73	9	562.056	511.944
74	19	530.605	513.816
75	31	497.371	532.790
76	14	444.929	535
77	19	479.921	535.605
78	6	519.500	537.667
79	24	555.292	541.917
80	8	454.500	544.125
81	5	532.100	556.700
82	28	464.786	572.929
83	45	508.611	576.522
84	32	534.281	576.562
85	23	557.370	577.457
86	22	519.682	586.818
87	21	443.405	587.643
88	5	504.300	586.300
89	54	568.870	589.759
90	33	439.773	603.379
91	33	462.136	605.470
92	14	517.214	606.429
93	13	497.885	610.731
94	71	477.092	613.162
95	10	494.300	619.800
96	4	499	617.750
97	10	487.300	622.600
98	4	523.500	624
99	4	462.750	624.750
100	6	453	629.333
101	4	537	630.250
102	6	485.167	632.333
103	4	519.250	632.750
104	78	535.987	638.077
105	11	483.045	637.864
106	10	452.300	640.500
107	7	432.071	640.786
108	5	439.100	641.100
109	4	477	641
110	5	551.900	641.300
111	5	472.700	642.900
112	8	541.125	643.375
113	12	435.917	645.083
114	9	443.944	644.167
115	6	523.167	644
116	4	457	643.500
117	43	449.337	651.267
118	5	529.900	646.500
119	4	429	647
120	4	446.750	645.750
121	4	546.250	649
122	4	443	649
123	8	454.625	651.625
124	5	531.100	651.500
125	9	426.833	653.500
126	80	437.050	661.412
127	43	533.547	659.570
128	6	542.667	655.667
129	4	424	656.250
130	5	429.700	658.700
131	5	446.500	658.700
132	4	547.250	658.500
133	6	443	661.500
134	4	552	659.750
135	9	548.611	662.500
136	5	448.300	662.900
137	17	445.147	667.324
138	6	544.833	664.167
139	11	538.136	665.864
140	14	547.357	670
141	4	533.500	669
142	84	533.512	676.333
143	4	543	671
144	5	452.500	672.100
145	9	540.722	673.611
146	4	442	675
147	4	449.250	674.500
148	7	455.643	675.500
149	4	550	677
150	8	546	677.500
151	5	528.500	680.500
152	8	544.125	681
153	22	550.864	682.682
154	14	557.643	682.786
155	4	456.750	682.500
156	5	524.900	684.100
157	4	442.250	686.500
158	6	463.667	686.667
159	9	531.278	688.056
160	4	464	691
161	4	457	691.250
162	13	434.192	693.269
163	4	538.500	692.250
164	4	469.250	694.750
165	4	417.750	696
166	6	427.167	696.833
167	4	464.500	697.250
168	4	440.750	699.500
169	4	428	701
170	13	448.885	701.808
171	9	419.944	704.611
172	5	460.100	706.300
173	16	557.062	706.625
174	72	446.444	711.181
175	4	416.250	709.250
176	58	422.517	713.483
177	5	435.100	710.700
178	51	553.618	714.304
179	14	434.714	717.286
180	10	457.600	715.900
181	7	448.929	718.357
182	5	428.900	719.500
183	6	440.667	720.500
184	4	454	719.750
185	5	458.900	719.500
186	4	528.750	720
187	4	447	720
188	4	534.750	720.250
189	4	414.500	721.250
190	5	554.500	721.700
191	12	446.250	724.667
192	44	536.795	731.955
193	4	428.500	726.750
194	6	438.333	731.500
195	9	546.056	737.278
196	4	552.750	739.250
197	21	547.357	743.071
198	9	420.389	743.611
199	4	542.250	744.750
200	7	426.500	747.214
201	5	540.900	747.700
202	4	432.500	758
203	4	430	766.250
204	7	488.786	769.786
205	4	492.250	770
206	4	458.750	770.500
207	32	409.219	778.594
208	4	432.500	777.250
209	32	483.375	781
210	8	412.375	785.250
211	5	407.100	788.100
212	10	420.300	789.900
213	8	457.250	790
214	7	471.643	790.500
215	5	412.500	791.300
216	4	416.500	792.750
217	28	489.214	794.321
218	17	413.324	796.794
219	7	419.500	795.071
220	6	422.667	797.500
221	5	407.500	798.700
222	9	426.500	798.944
223	7	421.214	802.786
224	4	431	801.750
225	8	414.250	802.750
226	26	459.462	806.769
227	19	470.763	812.237
228	6	464.333	811.333
229	6	458.667	813.500
230	58	423.017	823.034
231	26	504.346	829.385
232	10	525.600	841
233	18	402.722	844.556
234	4	411	842.250
235	6	522	844.833
236	7	396.071	846.357
237	8	524.375	847.625
238	4	416.750	849
239	4	396.750	850.750
240	14	401.929	852.429
241	50	442.800	862.140
242	10	397.300	860.800
243	10	412.100	860.400
244	4	416.500	862
245	5	392.900	865.300
246	7	466.357	865.929
247	4	477.250	865.250
248	10	498.100	865.900
249	5	460.700	866.900
250	5	480.900	870.900
251	12	530.750	873.667
252	38	477.368	876.316
253	4	461	875
254	6	487.167	875
255	6	494.833	876
256	46	417.435	879.283
257	7	529.500	882.643
258	5	444.900	884.300
259	40	496.600	886.525
260	4	529.500	886
261	45	404.811	891.300
262	9	528.833	891.056
263	44	501.545	904.386
264	8	387.375	902.750
265	37	474.662	908.230
266	4	444.750	906.750
267	37	430.554	931.770
268	16	474.125	933.312
269	36	408.194	937.333
270	10	379.800	938.300
271	43	455.988	953.291
272	29	423.845	955.534
273	42	493.143	968.929
274	43	389.686	974.779
275	34	481.588	986.706
276	46	429.500	989.630
277	27	510.685	1000.315
278	21	368.310	1009.548
279	16	404.250	1008.062
280	16	492.375	1015.312
281	37	445.122	1018.419
282	13	425.808	1019.038
283	27	374.315	1030.352
284	16	415.188	1060.750
285	26	365.308	1071.385
286	8	436.375	1071.375
287	43	443.198	1078.547
288	32	470.250	1081.906
289	27	385.352	1092.056
290	41	407.451	1094.500
291	34	363.529	1103.118
292	23	426.848	1103.239
293	5	352.900	1103.700
294	10	469.500	1116
295	34	434.500	1123.471
296	31	454.500	1124.855
297	23	353.587	1133.109
298	4	413.500	1135.250
