 	Area	X	Y
1	8	2046.875	11.750
2	44	2044.773	74.136
3	53	2039.538	115.802
4	42	2025.119	191.238
5	26	2043.654	221.038
6	48	2014.562	233.771
7	46	2037.522	263.087
8	38	2017.684	263.447
9	11	1994.136	265.136
10	39	2009.244	300.397
11	51	2020.029	342.069
12	51	1988.127	345.637
13	35	2005.671	375.671
14	17	2046.559	385.147
15	23	1987.457	388.022
16	24	1997.750	415.750
17	8	1986.875	417.875
18	47	2016.798	425.096
19	50	1977.200	432.680
20	38	2010.053	454.421
21	8	2047.250	455
22	46	1990.913	482.674
23	21	1965.690	487.738
24	27	2014.759	504.870
25	37	1973.689	523.365
26	44	1996.386	543.318
27	42	2045.310	545.024
28	18	1947.556	559.056
29	40	2011.700	560.175
30	24	1976.583	560.750
31	17	2041.971	569.912
32	40	1973.500	575.850
33	35	2014.757	579.786
34	44	1947.023	601.386
35	40	1977.600	601.125
36	35	2038.357	603.557
37	8	2019.750	604.500
38	17	2031.206	634.794
39	28	2003.857	639.571
40	6	2047.333	651.333
41	44	1955.455	655.773
42	39	1975.244	664.679
43	31	1930.758	671.758
44	42	2032.667	680.976
45	14	1994.714	680.500
46	41	1933.256	695.793
47	9	2016.833	695.944
48	30	1961.133	699.100
49	20	2029.700	715.300
50	5	1994.100	714.900
51	14	2012.143	720.286
52	27	2000.204	726.352
53	40	1925.500	728.800
54	23	1999.935	743.891
55	10	2006.300	744.600
56	17	2022.265	762.265
57	29	1935.741	769.948
58	13	2007.346	771.731
59	27	2018.019	773.685
60	18	1972.722	776
61	16	2032.250	780.688
62	41	1967.402	783.866
63	33	1991.379	789.439
64	13	2045.269	794.423
65	40	1909.875	800.075
66	33	2026.197	813.530
67	29	1988.397	814.190
68	20	2046.200	816.500
69	38	1915.289	825.947
70	7	1932.071	822.500
71	37	1963.635	837.257
72	45	1979.700	838.611
73	13	1930.500	842.346
74	25	1916.380	846.340
75	30	2009.133	858.133
76	37	1898.365	873.014
77	26	1983.192	879.077
78	32	2033.469	887.531
79	32	1949.969	907.312
80	23	1980.674	907.065
81	34	1998.882	911.824
82	13	1939.500	911.038
83	15	2029.833	929.100
84	21	1973.167	930.262
85	34	1988.676	935.735
86	27	2005.204	936.241
87	15	1953.167	936.367
88	25	1935.700	944.940
89	35	1924.729	948.414
90	45	1914.811	971.922
91	46	2019.087	979.130
92	15	2000.900	979.367
93	29	1937.810	999.155
94	32	1879.719	1003.094
95	34	1979.735	1004.765
96	30	1898.567	1008.633
97	10	1937.500	1007.600
98	34	2004	1014.824
99	21	1932.786	1024.929
100	30	1938.467	1035.833
101	35	1906.214	1041.471
102	35	2007.643	1048.929
103	30	1923.100	1049.733
104	7	1915.929	1068.214
105	35	1907.700	1077.271
106	36	1990.611	1078.056
107	39	1897.500	1092.526
108	27	1959.130	1095.796
109	38	1933.237	1098.605
110	60	1997.283	1102.300
111	21	1876.452	1110.833
112	13	1878.577	1132.346
113	6	1863	1135.333
114	43	1914.105	1139.523
115	34	1942	1146.882
116	38	1990.842	1148.789
117	22	1956.682	1149.091
118	6	1852	1153.333
119	41	1856.012	1159.134
120	37	1870.581	1173.176
121	38	1881.632	1175.605
122	37	1920.284	1184.176
123	40	1950.925	1190.975
124	18	1903.556	1193.111
125	11	1881.955	1194.227
126	20	1986.500	1197.900
127	34	1980.324	1210.794
128	21	1928.452	1216.500
129	13	1840.500	1228.115
130	10	1950.800	1228
131	31	1859.145	1239.145
132	17	1873.735	1240.029
133	52	1905.250	1242.577
134	35	1971.329	1260.786
135	9	1957.167	1271.167
136	38	1858.842	1276.684
137	35	1875.414	1278.729
138	37	1901.419	1281.932
139	29	1937.259	1291.293
140	44	1873.045	1300.614
141	24	1897.542	1304.833
142	37	1946.662	1313.149
143	35	1847.043	1317.986
144	16	1884.750	1340.312
145	33	1854.712	1345.409
146	45	1951.100	1344.989
147	19	1870.605	1351.605
148	38	1908.526	1352.474
149	9	1887.833	1352.389
150	37	1835.122	1356.122
151	34	1856.059	1369.647
152	36	1919.583	1382.556
153	41	1915.939	1403.866
154	13	1850.885	1406.269
155	23	1854.978	1411.239
156	36	1811.694	1414.417
157	42	1868.357	1420.071
158	27	1884.204	1422.130
159	5	1824.100	1449.700
160	7	1919.643	1450.071
161	36	1902.806	1455.139
162	26	1937.577	1457.231
163	37	1887.878	1463.122
164	42	1836	1471.500
165	15	1915.567	1469.833
166	46	1818	1472.109
167	4	1901.750	1488.500
168	29	1898.362	1494.224
169	41	1925.159	1499.110
170	41	1879.037	1506.037
171	8	1802.500	1523.125
