 	Area	X	Y
1	16	1512.438	15.750
2	4	1592.250	15.500
3	1	1506.500	15.500
4	33	1560.500	23.682
5	38	1531.237	25.500
6	8	1613.250	32.250
7	1	1561.500	37.500
8	22	1573.864	43.773
9	36	1511.361	48.861
10	32	1560.406	50.375
11	1	1575.500	48.500
12	11	1613.500	51.500
13	18	1603.500	61.944
14	25	1572.860	69.900
15	39	1604.346	75.885
16	44	1526.409	82.455
17	1	1606.500	82.500
18	1	1512.500	83.500
19	25	1477.940	89.660
20	1	1599.500	92.500
21	17	1601.912	95.912
22	18	1469.944	103.944
23	34	1486.794	106.412
24	52	1556.346	109.904
25	23	1515.239	110.848
26	1	1485.500	110.500
27	20	1594.800	117.700
28	6	1464	129.500
29	16	1563	130.500
30	35	1587.186	131.471
31	32	1471.781	151.562
32	1	1476.500	154.500
33	39	1510.167	166.474
34	22	1521.136	166.273
35	17	1590.382	167.971
36	1	1519.500	172.500
37	28	1536.036	175.107
38	42	1567.810	184.619
39	1	1564.500	190.500
40	37	1542.824	194.392
41	31	1513.306	198.790
42	1	1541.500	199.500
43	30	1467	205.967
44	15	1539.767	214.233
45	2	1548.500	217
46	31	1464.339	225.984
47	39	1492.449	228.910
48	4	1559.250	230.500
49	30	1521.400	233.567
50	35	1466.729	241.443
51	1	1545.500	242.500
52	18	1529.167	250.389
53	10	1547.500	252
54	1	1566.500	256.500
55	37	1471.446	263.743
56	1	1507.500	264.500
57	1	1541.500	278.500
58	13	1544.192	279.962
59	12	1481.833	289.917
60	32	1475.188	293.062
61	44	1438.659	299.568
62	15	1460.300	298.367
63	3	1558.833	298.167
64	18	1565.111	300.944
65	28	1466.143	308.107
66	2	1478	310.500
67	1	1466.500	313.500
68	32	1517.875	324.875
69	1	1441.500	322.500
70	31	1494.468	327.242
71	14	1455	329
72	1	1516.500	329.500
73	1	1425.500	332.500
74	20	1552.300	342.850
75	32	1532	349.875
76	1	1546.500	356.500
77	9	1494.389	362.833
78	18	1435.167	366.833
79	45	1525.367	368.900
80	47	1466.819	373.011
81	1	1519.500	371.500
82	15	1512.833	376.367
83	34	1419.706	378.147
84	13	1440.423	377.577
85	30	1549.133	381.833
86	28	1480.357	387.750
87	31	1506.629	388.177
88	1	1497.500	393.500
89	40	1428.975	407.050
90	1	1419.500	405.500
91	1	1461.500	410.500
92	1	1461.500	413.500
93	12	1481.750	422.917
94	38	1446.974	427.026
95	1	1481.500	426.500
96	37	1408.419	436.743
97	44	1491.614	444.091
98	1	1462.500	440.500
99	37	1428.905	448.149
100	1	1488.500	449.500
101	1	1493.500	449.500
102	29	1529.810	454.776
103	30	1503.900	464.400
104	18	1485.222	470.444
105	23	1503.717	476.717
106	14	1518.929	478.071
107	1	1445.500	477.500
