 	Area	X	Y
1	20	493.400	13.950
2	34	564.794	20.559
3	23	497.196	36.196
4	27	440.611	44.500
5	45	501.256	47.389
6	27	552.648	47.315
7	56	435.339	61.714
8	15	549.233	70.300
9	32	521.969	76.625
10	8	473.375	79.875
11	23	506.022	89.630
12	46	460.239	99.565
13	22	504.227	99.955
14	40	530.550	116.900
15	25	424.940	117.020
16	10	483	116.100
17	17	512.265	123.912
18	28	416.464	146.571
19	6	495.667	144.833
20	31	455.435	153.306
21	4	534.750	151.500
22	36	514.222	154.472
23	35	442.243	157.529
24	36	479.056	159.778
25	40	519.425	163.375
26	42	424.238	185.738
27	8	451.750	186.750
28	5	469.300	216.900
29	40	445.675	235.550
30	45	511.544	246.811
31	29	480.362	247.466
32	20	403.850	250.050
33	35	419.586	268.329
34	44	446.818	276.886
35	18	460.222	281.111
36	8	494.875	279.750
37	37	495.635	309.743
38	12	465.583	311.083
39	36	394.611	328.667
40	37	416.932	330.041
41	44	454.227	330.636
42	10	438.500	337
43	7	491.214	337.643
44	30	406.400	350.067
45	5	461.900	358.300
46	9	497.611	370.500
47	32	379.250	376.344
48	16	454.562	376.688
49	33	459.682	382.955
50	20	379.300	389.750
51	17	486.265	392.147
52	12	467.333	394.583
53	30	450.233	399.500
54	38	393.737	405.447
55	22	429.182	405.591
56	17	414.441	407.794
57	22	388.864	428.955
58	44	429.523	436.341
59	12	473.167	446.250
60	32	427.156	464.969
61	4	409.500	472.750
62	32	382	481.375
63	30	420.600	489.300
64	16	346.250	493
65	11	378.227	492.682
66	21	469.738	502.595
67	7	360.500	508.643
68	185	433.630	519.024
69	35	358.014	518.100
70	29	450.431	537.397
71	5	435.300	542.900
72	9	331.722	562.500
73	29	394.466	570.569
74	43	440.849	576.547
75	29	350.707	576.741
76	11	424.409	574.864
77	9	373.944	576.056
78	36	448.222	587.694
79	32	339.969	605.625
80	26	380.192	608.385
81	35	368.786	616.814
82	31	424.855	630.532
83	32	436.281	630.562
84	16	349.375	638.750
85	16	323.062	641
86	22	397.545	644.909
87	22	425.045	649.727
88	28	408.321	652.071
89	26	360.385	653.269
90	26	379.231	667.846
91	23	396.109	669.022
92	27	337.389	679.944
93	14	388.786	683.714
94	35	426.586	697.214
95	44	330.227	716.500
96	24	358.833	725.958
97	17	307.500	728.912
98	34	390.971	739.088
99	39	373.141	741.013
100	11	341.682	740.409
101	30	332.367	769.867
102	42	392.143	774.619
103	9	285.944	797.611
104	5	346.500	797.500
105	25	385.100	805.580
106	10	373.700	805.800
107	34	339.941	813.412
108	22	291.136	816.364
109	18	315.500	824.833
110	28	302.821	829.964
111	19	366.658	830.658
112	11	321.864	836.136
113	26	372.038	840.654
114	29	325.810	841.776
115	28	341.929	861.750
116	21	308.881	861.976
117	15	321.633	876.633
118	28	355.536	881.393
119	24	286.792	884.792
120	46	375.370	886.543
121	17	334.676	895.559
122	6	265.333	900.833
123	26	387.346	901.038
124	32	283.250	922.469
125	15	311.567	929.633
126	17	290.088	933.206
127	31	353.177	942.113
128	11	383.682	944.864
129	13	267.500	946.192
130	26	258.692	959
131	10	373.900	957.800
132	21	316.024	964.452
133	34	333.500	970.118
134	27	286.574	979.759
135	33	257.742	988.500
136	29	363.397	989.397
137	31	324.919	997.726
138	26	345.962	998.500
139	17	297.265	1009.794
140	13	323.962	1033.192
141	21	337.738	1033.595
142	4	276.500	1035
143	15	288.900	1037.567
144	27	363.056	1052.278
145	9	313.500	1054.500
146	27	333.685	1066.796
147	18	241.056	1068.444
148	32	299.406	1075.500
149	33	346.803	1089.591
150	20	241.550	1090
151	28	321.464	1101.286
152	31	233.661	1107.242
153	25	325.260	1128.980
154	27	300.537	1131.833
155	22	346.591	1132.045
156	46	271.022	1134.978
157	13	218.962	1140.423
158	26	324.769	1164.846
159	20	304.350	1167.600
160	23	225.674	1169.065
161	16	284.375	1169.812
162	23	309.022	1180.804
163	39	212.397	1183.936
164	32	271.469	1184.156
165	21	320.167	1185.595
166	27	256.981	1196.241
167	11	214.682	1202.045
168	33	282.470	1208.742
169	39	329.782	1211.500
170	4	220.500	1221.250
171	12	232.083	1222
172	32	255.125	1234.156
173	37	225.959	1240.311
174	9	326.611	1243.944
175	34	198.765	1251.824
176	39	280.346	1258.295
177	8	291.750	1265
178	33	232.955	1277.258
179	25	272.860	1292.500
180	31	222.016	1310.210
181	22	297.273	1309.591
182	26	244.115	1312.308
183	34	267.941	1312.706
184	21	251.214	1320.738
185	9	256.500	1341.500
186	24	266.750	1343.500
187	33	191.530	1348.106
188	11	221.955	1357.227
189	28	273.643	1366.357
190	16	228.750	1371.500
191	27	176.907	1394.870
192	37	234.527	1401.959
193	24	169.042	1402.917
194	33	292.409	1407.803
195	4	215	1410.250
196	7	197.500	1415.643
197	20	240.450	1418.950
198	33	272.318	1426.106
199	25	285.340	1429.380
200	28	229.571	1432.036
201	21	193.024	1441.452
202	26	214.769	1442.769
203	33	204.045	1459.833
204	14	249.857	1469.214
205	35	276.100	1470.671
206	33	265.167	1485.924
207	25	153.500	1486.220
208	33	183.924	1491.864
209	55	227.245	1502.955
210	25	190.020	1518.980
211	15	166.167	1526.233
