 	Area	X	Y
1	20	362.800	1.900
2	9	468.278	1.056
3	24	1239.917	3.708
4	4	724	3
5	30	1725.133	6.533
6	12	2040.667	5.167
7	27	1877.426	7.944
8	4	522.750	6.750
9	22	662	9.318
10	25	1274.660	11.180
11	21	1130.786	12.929
12	30	1356.700	13.700
13	7	975.500	13.500
14	37	1155.608	16.878
15	36	1203.833	17.306
16	28	1590.643	16.250
17	8	37.875	15.750
18	32	281.406	18.938
19	39	179.013	19.372
20	14	1662.143	19.214
21	38	1426.526	22.132
22	11	1119.955	21.318
23	35	1493.814	22.586
24	44	564.273	23.705
25	22	732	23.636
26	27	1688.685	23.241
27	17	52.735	24.676
28	21	1776.357	24.643
29	29	385.879	26.672
30	36	642.778	26.500
31	34	1964.471	27.118
32	24	1994.958	26.667
33	27	2022.352	27.870
34	46	832.870	30.152
35	21	1838.310	28.357
36	18	1334	30.722
37	27	985.944	31.685
38	35	209.900	33.414
39	26	1361.308	35.192
40	20	929.150	35.850
41	31	1095.919	37.500
42	34	79.088	38.500
43	8	97.125	38
44	18	163.778	38.333
45	36	895.917	39.694
46	32	1808.500	40.906
47	25	367.740	41.020
48	47	490.436	43.287
49	34	1746.676	42.588
50	25	1937.500	42.500
51	33	2044.530	42.955
52	22	1287.591	42.682
53	38	1467.132	44.842
54	28	529.929	45.857
55	19	738.289	44.289
56	25	1261.580	44.820
57	23	420.022	46.717
58	38	439.816	48.263
59	39	601.167	48.679
60	21	1343.738	47.833
61	23	151.891	48.630
62	34	1628.412	49.147
63	26	759.538	49.538
64	27	999.907	50.019
65	23	1590.413	49.891
66	34	12.029	53.588
67	28	811.107	53.750
68	15	917.567	52.767
69	4	100	53
70	26	37.846	55.538
71	31	364.694	56.919
72	29	1296.017	57.293
73	21	1766.214	56.786
74	37	1521.122	58.635
75	4	1716.500	58
76	33	642.470	61.227
77	37	1805.662	62.122
78	28	1939.857	61.500
79	30	1248.100	62.933
80	37	686.095	64.581
81	30	917.567	64.867
82	43	1040.988	65.500
83	33	1402.500	66.197
84	38	1666.053	67.342
85	23	443.457	66.935
86	27	749.463	66.685
87	43	1702.267	68.128
88	30	781.400	69.533
89	31	1886.823	69.113
90	24	1988.167	68.833
91	7	177.357	71.071
92	31	583.532	73.823
93	26	230.538	75.154
94	9	114.611	76.056
95	29	1615.155	77.948
96	34	147.118	78.706
97	26	260.692	78
98	23	953.457	78.674
99	23	1290.717	79.239
100	20	1329.600	78.550
101	31	1395.145	79.371
102	21	275.881	80.262
103	15	1995.500	79.700
104	23	247.152	81.196
105	42	317.119	82.143
106	35	385.100	81.529
107	21	854.881	80.310
108	5	1134.700	78.900
109	42	11.429	83.143
110	21	631.690	82.786
111	37	964.149	84.095
112	28	1771.143	82.929
113	28	1433.643	84
114	17	1869.088	83.618
115	35	805.186	87.643
116	23	667.935	89.543
117	29	131.741	89.810
118	26	679.731	90.346
119	12	1550.500	89.750
120	8	1941.625	89
121	33	1154.076	91.227
122	30	1603.433	91.800
123	25	507.020	91.780
124	32	1202.344	92.312
125	19	1910.711	93.711
126	34	1000.706	96
127	31	458.081	96.016
128	7	1799.786	94.357
129	10	1176.800	95.700
130	36	1352.167	98.611
131	33	1451.409	98.530
132	5	423.900	97.300
133	36	1886.361	101.667
134	31	509.113	102.403
135	16	463.562	103.250
136	4	834.250	102.500
137	34	1651.853	104.500
138	29	88.810	105.259
139	22	78.227	105.545
140	30	1375.700	107.400
141	23	1500.370	106.674
142	32	549.656	108.156
143	22	1188.864	108.455
144	24	1972.667	109
145	4	597	110
146	29	1096.362	112.259
147	4	1806	110.500
148	25	732.580	112.620
149	22	1751.318	112.727
150	30	162.100	114.133
151	35	693.443	115.043
152	9	1836.500	113.056
153	5	997.700	113.500
154	16	1088.812	114.500
155	24	1922.083	114.750
156	9	1199.500	114.833
157	29	1438.190	116.190
158	31	1570.726	116.468
159	42	311.119	118.405
160	26	581.154	117.077
161	40	1547.175	119.275
162	36	49.389	122.222
163	37	25.797	123.743
164	22	182.455	123.045
165	42	1737.690	124.762
166	33	899.833	124.924
167	30	1360.567	125
168	31	1961.371	124.629
169	37	377.932	125.635
170	47	238.521	128.585
171	31	924.468	127.823
172	8	1562.125	126.125
173	8	99.875	126.875
174	33	759.288	128.833
175	25	83.780	130.420
176	27	982.352	129.907
177	39	825.782	132.295
178	33	1062.136	131.591
179	36	599.500	132.444
180	30	855.800	132.167
181	32	1140.969	132.719
182	27	1812.833	132.093
183	13	178.269	131.731
184	33	1008.621	134.318
185	25	429.820	136.220
186	28	678.750	137.107
187	28	383	138.500
188	9	1214.389	136.944
189	39	138.346	140.218
190	31	1507.952	141.919
191	21	1933.500	140.357
192	11	1276.864	140.773
193	19	165.711	143.553
194	5	1221.100	142.700
195	27	1435.241	145.093
196	29	1216.500	146.293
197	9	1601.056	145.944
198	10	259.700	146.600
199	24	956.958	147.833
200	4	1314.250	146.500
201	7	2003.500	146.214
202	10	1583.500	149.700
203	5	815.500	150.300
204	42	1235.833	153.690
205	23	1922.500	152.239
206	14	1027.357	153.143
207	30	1402.333	155.433
208	44	1662.750	156.795
209	23	276.543	157.891
210	19	445.395	157.658
211	37	1836.581	158.176
212	32	1972.531	158.188
213	4	882	157
214	38	1374.605	159.553
215	25	578.940	160.020
216	34	930.029	160.529
217	17	1950.853	159.088
218	14	44.357	160.214
219	41	1766.037	162.744
220	14	545	162.643
221	38	754.026	163.658
222	18	845.389	163.444
