 	Area	X	Y
1	35	951.671	30.157
2	4	995.750	30.250
3	29	962.328	37.259
4	37	891.095	46.284
5	22	985.409	48.545
6	24	994.042	52.833
7	36	915.750	62
8	20	951.100	63.350
9	35	968.986	70.129
10	15	875.167	80.367
11	22	942.545	80.773
12	33	995.591	83.621
13	19	886.605	96.026
14	36	967.750	126.083
15	42	903.762	126.881
16	20	884.400	136.050
17	12	931.833	149.333
18	22	913.045	155.136
19	4	942	169
20	40	903.750	174.275
21	41	955.183	179.110
22	18	886.278	192.333
23	27	905.611	194.870
24	28	853.714	206.500
25	24	892.500	208
26	35	858.300	220.386
27	33	934.985	223.773
28	25	928.500	236.900
29	20	880.500	239.650
30	30	958	240.467
31	25	853.420	242.780
32	9	969.278	253.611
33	34	895.882	258.059
34	31	912.887	265.597
35	32	960.375	271.531
36	28	900.750	284.036
37	28	956.643	300.964
38	7	840.929	304.214
39	4	864.750	307.250
40	30	931.667	312.500
41	37	910.257	317.500
42	51	855.402	326.618
43	6	954.333	332.667
44	34	847.765	356.294
45	18	945	356.278
46	26	932.308	366.692
47	226	887.305	382.898
48	22	818.318	376.727
49	20	843.950	397.200
50	43	935.616	414.919
51	42	861.405	417.595
52	37	810.122	432.851
53	44	856.682	456.045
54	30	912.733	458.167
55	7	828.500	462.643
56	20	865.500	470.150
57	29	898.879	476.431
58	24	808.458	482.875
59	20	802.200	486.250
60	39	892.218	492.910
61	33	851.985	494.136
62	43	826.826	507.895
63	18	869.722	508.833
64	19	905.553	515.132
65	4	892.500	514.500
66	38	795.237	519.132
67	30	876.900	521.867
68	24	910.542	526.125
69	5	911.300	541.700
70	42	823.024	552.167
71	12	860.417	556.167
72	41	835.427	559.646
73	16	782.500	561
74	12	831.333	569.333
75	4	856	570.750
76	32	890.938	579.406
77	30	872.500	588.467
78	21	827.071	596.500
79	31	896.758	605.048
80	24	871.375	609.250
81	36	775.194	610.944
82	20	799.800	620.750
83	37	846.014	621.824
84	32	816.500	635.844
85	13	832.654	647.423
86	21	801.071	649.357
87	32	767.562	668.656
88	31	826.177	677.661
89	41	860.671	679.451
90	46	779.022	711.913
91	29	805.259	711.845
92	25	828.020	713.420
93	18	790.167	722.556
94	53	839.481	725.745
95	23	865.022	741.239
96	16	788.062	742.188
97	46	747.739	747.957
98	11595	779.289	881.971
99	4	757	755
100	5	768.700	757.500
101	18	860.556	760.389
102	4	788.750	766.750
103	63	807.198	773.389
104	40	787.600	777
105	5	743.300	781.100
106	6	786.333	786.667
107	6	804.333	793
108	13	822.423	793.500
109	8	813.375	794.750
110	7	828.500	795.071
111	233	835.693	806.689
112	10	802.700	798.600
113	12	810.833	800.917
114	18	821.389	798.500
115	5	816.300	801.500
116	5	802.900	802.100
117	21	816.690	807.405
