 	Area	X	Y
1	7	1116.071	6.929
2	30	1192.233	17.367
3	27	1087.685	34.167
4	18	1143.333	33.778
5	29	1163.259	35.948
6	31	1117.081	65.016
7	25	1087.420	67.940
8	38	1172.974	80
9	38	1145.526	81.421
10	20	1106.400	93.950
11	35	1096.871	109.214
12	37	1133.716	118.824
13	27	1071.019	134.907
14	19	1053.553	139.447
15	6	1065.167	145.333
16	9	1094.833	163.500
17	13	1081.038	167.731
18	47	1141.181	170.543
19	20	1169.550	177.750
20	37	1095.149	183.284
21	26	1123.769	213.615
22	40	1058.575	220.125
23	13	1153.346	230.654
24	28	1062.429	236.143
25	29	1159.190	241.190
26	34	1143.853	244.147
27	32	1099.469	255.406
28	31	1129.210	285.565
29	29	1110.121	291.810
30	33	1131.985	294.076
31	25	1027.220	296.180
32	33	1063.167	305.076
33	8	1020.625	309.125
34	29	1083.328	312.362
35	36	1112.944	317.222
36	34	1043.118	331.559
37	30	1078.133	348.767
38	14	1139.571	351.929
39	15	1010.833	360.567
40	27	1067.241	369.204
41	6	1118.833	371.833
42	10	1050	372.800
43	26	1081.308	402.923
44	31	1032.403	404.984
45	22	1068.818	404.364
46	32	1015.094	407.062
47	29	1117.086	431.534
48	31	1098.016	439.306
49	25	1048.420	444.380
50	22	1030	446.955
51	8	1065.250	448.500
52	14	991.429	460.143
53	28	1091.321	465.071
54	10	1018.200	468.800
55	37	1011.041	476.905
56	41	1078.061	487.183
57	33	1111.621	486.470
58	31	1059.952	514.597
59	30	984.133	515.567
60	17	1006.206	521.441
61	31	1070.339	526.823
62	21	999.071	536.405
63	17	1004.559	546.382
64	20	1025.100	560.700
65	20	1000.350	566.050
66	16	977.688	570.688
67	27	1058.537	573.241
68	31	1046.048	578.113
69	41	1013.354	598.988
70	34	1067.471	604.647
71	7	1001.214	615.071
72	19	969.447	632.711
73	40	1062.575	634.275
74	36	985.222	642.250
75	22	1005.227	648.455
76	27	1070.611	659.611
77	11	965.318	661.864
78	31	956.274	675.177
79	33	1035.530	676.894
80	21	1014.214	682.548
81	9	1043.278	687.722
82	18	980.222	699.556
83	33	1015.894	701.894
84	28	1064.786	702.786
85	16	984.125	733.812
86	4	1065	736
87	14	948.929	738.286
88	39	1035.679	742.423
89	42	999.786	744.429
90	20	934.150	760.150
91	31	987.629	776.790
92	28	1005.821	780.143
93	18	930.556	788.944
94	10	960.300	792.500
95	38	972.395	793.974
96	13	955.885	795.577
97	15	947.433	797.567
98	13	989.731	797.423
99	39	1034.756	817.064
100	11	1015.136	817.773
101	32	921.125	835.406
102	38	1018.342	844.711
103	34	942	846.588
104	6	993.333	857.833
105	31	941.113	862.629
106	40	1000.725	889.450
107	32	979.531	912.281
108	29	964.879	913.190
109	63	1000.056	924.548
110	39	940.756	923.167
111	21	1018.976	926.024
112	39	901.500	936.628
113	7	929.357	948.071
114	16	913.625	954.250
115	23	924.587	965.935
116	18	983.222	967
117	7	953.786	975.071
118	28	1006	985.393
119	30	889.200	1002.933
120	24	939.958	1019.417
121	32	949.844	1022.812
122	45	977.944	1027.767
123	31	999.790	1037.048
124	17	930.853	1050.382
125	24	898.375	1052.167
126	28	976	1072.964
127	41	933.671	1075.037
128	36	885.778	1081.333
129	29	907.948	1082.190
130	28	973.071	1097.929
131	40	902.675	1110.950
132	23	869.457	1116.891
133	32	948.750	1129.781
134	24	894.917	1143.417
135	32	959.719	1152.844
136	37	976.068	1156.527
137	43	884.547	1168.221
138	37	856.365	1187.743
139	31	940.081	1194.274
140	27	900.944	1202.204
141	33	965.864	1212.379
142	4	941	1212
143	30	882.133	1224.833
144	35	927.071	1236.186
145	7	956.500	1239.929
146	37	847.797	1243.500
147	9	869.389	1250.944
148	38	904.421	1257.868
149	38	883.500	1273.842
150	25	952.780	1279.740
151	27	951.500	1290.759
152	22	833.500	1293.727
153	37	916.500	1301.662
154	22	945.318	1308.818
155	14	843.929	1327.500
156	10	832	1327.500
157	26	879.731	1330.615
158	33	858.773	1356.924
159	28	940.714	1358.679
160	30	839.267	1359.700
161	28	886.643	1363.500
162	30	913.867	1367.867
163	4	826.500	1366
164	6	846.833	1373.833
165	15	881.100	1385.100
166	35	833.243	1393.300
167	33	927.985	1397.955
168	11	862.864	1400.955
169	37	926.149	1422.824
170	10	832.300	1425
171	20	810.700	1433
172	42	883.238	1446.595
173	23	904.717	1455.239
174	27	808.537	1462.130
175	34	857.853	1466.824
176	20	829.200	1466.700
177	8	838.500	1468.375
178	21	870.881	1473.024
179	33	799.076	1480.864
180	12	829.667	1504.917
181	19	911.816	1504.868
182	24	869	1507.417
183	9	797.389	1515.833
184	31	854.339	1517.565
