 	Area	X	Y
1	29	157.845	2.086
2	11	372.045	1.045
3	22	397.500	2.136
4	5	421.300	0.900
5	23	909.978	2.065
6	24	1002.167	3.333
7	15	1078.833	1.833
8	20	1118.550	1.900
9	8	1183.875	0.875
10	22	1243.182	2.409
11	32	1718.656	3.344
12	31	1573.274	4.048
13	31	1932.694	5.887
14	11	516.227	5.409
15	11	851.500	4.955
16	20	73.300	6.900
17	31	352.339	7.500
18	11	1487.773	6.409
19	15	43.100	7.633
20	6	914.667	6.667
21	18	1016.389	7.167
22	28	1269	8.500
23	33	531.742	9.136
24	26	777.577	8.923
25	6	1172.500	9.833
26	24	1462.167	10.917
27	26	1883.538	11.923
28	33	2030.864	12.530
29	25	214.740	13.140
30	13	1347.577	13.423
31	37	456.797	15.365
32	24	562.500	15.125
33	25	1333.740	19.380
34	29	1819.534	21.810
35	4	617	22.250
36	26	1971.462	23.538
37	18	756.056	24.833
38	6	56.333	24.333
39	29	1368.845	26.397
40	19	1224.816	28.132
41	34	1450.706	29.382
42	7	133.214	31.071
43	33	1249.864	32.409
44	36	1297.944	32.806
45	29	1684.948	32.086
46	5	1608.100	31.500
47	40	273.475	35.100
48	32	375.438	34.844
49	15	1756.167	34.700
50	39	1520.705	37.756
51	10	1213.800	37
52	31	1587.565	38.145
53	30	1782.733	38.800
54	37	658.284	39.473
55	25	826.220	39.460
56	16	147.312	40.188
57	18	1870.389	40.278
58	29	480.224	41.983
59	38	736.763	42.237
60	53	926.934	45.802
61	22	1932.318	43.818
62	26	1079.962	47.192
63	15	1428.167	46.567
64	29	304.397	48.603
65	8	83	47.750
66	21	1022.976	51.405
67	26	1455.269	50.731
68	32	173.750	53.750
69	28	1190.179	53.143
70	17	257.971	53.676
71	37	989.851	55.095
72	8	191.250	53.375
73	26	461.808	56.308
74	47	25.691	57.755
75	42	584.643	58.333
76	28	1903	56.786
77	24	1381.458	58.125
78	34	1840.647	58.324
79	27	2031.685	57.907
80	19	832.816	59.711
81	25	1356.020	60.060
82	38	1561.053	60.526
83	31	624.081	61.790
84	19	513.868	62.500
85	41	533.939	64.134
86	41	695.037	64.402
87	22	1438.045	62.909
88	24	246.208	64
89	31	1722.177	64.306
90	25	853.660	65.060
91	36	75.083	66.611
92	22	1094.364	65.455
93	26	1684.808	65.808
94	44	8.068	69.068
95	32	109.531	69.125
96	23	905.239	68.935
97	14	1011.643	68.571
98	7	194.929	68.786
99	27	133.315	70.870
100	34	458.941	72.324
101	32	1390.094	72.594
102	41	1615.354	73.988
103	23	1860.630	72.413
104	32	736.906	76.750
105	4	1810.250	73.750
106	31	1899.823	77.468
107	28	2034.357	77.107
108	27	1342.204	78.722
109	37	780.095	80.311
110	30	1011.867	80.767
111	39	1135.064	80.987
112	33	1496.591	81.773
113	8	81.250	80.125
114	25	537.860	82.060
115	26	843.500	81.962
116	33	1760.136	82.985
117	40	1796.550	83.425
118	24	1981.250	84.458
119	27	875.648	84.944
120	9	271.500	86.500
121	32	677.719	89.062
122	28	324.857	90.714
123	27	1709.241	93.130
124	4	209.500	91.750
125	36	241.722	94.472
126	25	355.100	93.660
127	20	1047.850	93.750
128	21	1423.881	93.976
129	28	1489.250	94.536
130	26	1385	94.885
131	25	341.340	96.500
132	18	370.167	95.889
133	36	479.389	96.972
134	22	949.136	95.591
135	30	109.267	98.233
136	38	411.605	97.921
137	28	1865.500	98
138	24	725.792	98.500
139	35	1058.414	99.900
140	29	1527.914	99.500
141	16	1963.625	99.188
142	38	899.342	103.579
143	26	225.962	105.577
144	22	762.318	104.682
145	26	774.192	106
146	35	1248.157	106.700
147	18	1644.889	105.333
148	11	2036.318	104.591
149	28	601.429	107.500
150	31	1296.145	107.855
151	30	1697.567	107.433
152	21	2005.262	108.881
153	26	64.731	109.654
154	32	1095.094	111.719
155	6	1894.333	109.833
156	29	552.672	111.776
157	10	1271.200	110.900
158	35	1446.786	114.214
159	7	518.214	112.643
160	32	1545.625	114.594
161	36	1980.778	117.333
162	31	603.177	118.113
163	23	558.152	118.978
164	35	1745.986	119.843
165	26	183.462	120.769
166	5	929.100	118.300
167	19	172.921	121.395
168	34	644.029	123.676
169	28	1470.036	122.857
170	23	1594.543	122.543
171	21	1283.262	124.262
172	26	827.269	128.462
173	30	1190.633	128.033
174	24	1845.750	128.333
175	33	256.439	129.742
176	35	787.871	130.757
177	16	1183	129.875
178	9	1930.833	128.500
179	27	2016.574	130.389
180	7	1092.071	129.357
181	30	1532.633	131.667
182	28	675.786	132.357
183	7	1294.214	130.500
184	26	1665.192	132.231
185	43	405.453	134.012
186	38	1641.658	135.237
187	32	144.719	137.625
188	6	7.500	137
189	34	121.471	139.235
190	20	277.050	138.450
191	44	1831.864	140.682
192	32	994.094	140.531
193	35	472.300	141.043
194	29	1454.845	140.741
195	49	333.153	144.582
196	33	1018.924	143.712
197	7	1656.500	141.786
198	7	194.786	142.500
199	33	853.682	144.470
200	26	1076.923	145.462
201	27	178.500	146.352
202	36	693.833	147.722
203	42	920.262	148.048
204	28	950.214	147.714
205	32	1156.750	147.125
206	14	273.143	147.357
207	34	1235.471	148.412
208	28	1907.321	147.964
209	31	1103.016	149.597
210	28	524.393	152.143
211	25	773.420	152.940
212	24	477.458	154
213	8	1309.375	152.625
214	36	232.889	155.583
215	25	2028.300	156.380
216	25	1602.340	157.340
217	8	1371.500	157
218	20	260.750	159.700
219	38	1311.684	161.263
220	25	1529.660	160.540
221	7	1695.500	162.071
222	8	354.375	162.375
223	26	1051.962	164
224	12	1678	165
225	5	909.900	165.700
226	43	1330.105	169.430
227	27	2017.389	168.426
228	40	34.325	169.525
229	13	1121.885	168.885
230	31	1497.210	171.177
231	43	1757.756	172.337
232	29	56.776	173.155
233	39	1931.013	173.910
234	21	371.071	173.548
235	17	540.088	173.206
236	22	95.364	175.091
237	37	1469.581	175.176
238	23	2045.761	174.674
239	25	673.580	175.820
240	33	1024.682	176.500
241	13	139.808	176.115
242	43	1860.802	178.244
243	12	639.167	178.500
244	40	848.675	179.800
245	42	1393.286	180.333
246	17	940.147	179.265
247	17	1226.265	179.206
248	6	988	179
249	39	1697.090	182.064
250	24	1134.917	182.208
251	16	1795.062	181.625
252	12	455	183.500
253	6	1054.167	182.333
254	34	1958.912	184
255	10	17.500	184
256	24	546.667	187.417
257	48	621.396	188.688
258	36	782.972	187.917
259	26	1077.769	187.038
260	24	1111.583	186.833
261	14	96.857	188.071
262	40	1235.900	191.600
263	27	153.981	192.981
264	24	998.458	193.583
265	18	1530.944	193.167
266	35	697.557	195.386
267	40	753.475	195.400
268	20	364.300	197.350
269	33	95.470	199.803
270	28	509.679	199.286
271	6	802.500	197.667
272	31	1823.468	200.048
273	17	1278.500	200.912
274	33	561.227	203.621
275	13	2046.423	202.192
276	42	1197.952	205.405
277	39	335.705	206.705
278	33	1384.742	210.106
279	19	710.816	211.026
280	26	415.423	212.308
281	27	212.389	213.389
282	4	456.500	211.750
283	35	933.214	213.157
284	29	1154.224	212.741
285	27	1736.019	215.130
286	30	225.800	216.100
287	45	1650.567	216.878
288	27	2016.093	215.907
289	4	880.250	215.500
290	18	1518.556	216.722
291	16	1980.938	215.875
292	26	2027.423	217.346
293	9	703.833	218.167
294	11	1551.318	218.227
295	30	58.300	221
296	39	178.731	221.910
297	14	247.643	220.071
298	20	293.750	220.750
299	29	1926.431	221.052
300	23	1537.587	221.717
301	46	837.478	224.022
302	4	1797	221
303	36	979.972	225.250
304	23	604.283	226.457
305	27	1501.204	225.981
306	12	1864.583	224.750
307	28	1307.393	226.893
308	35	1342.786	227.329
309	11	2041.864	227.227
310	33	411.167	229.167
311	16	335.812	229.812
312	8	1820.375	228.875
313	37	1084.338	231.878
314	4	1136.250	229.500
315	45	1599.611	231.856
316	47	486.457	232.713
317	4	720	230.500
318	11	294.773	232.227
319	19	776.132	232.289
320	30	1655.667	233.267
321	29	275.155	234.672
322	4	941.500	233
323	10	1775.500	234
324	8	540.625	235.250
325	33	573.773	237.318
326	24	137.167	238.625
327	53	1446.972	241.142
328	39	1834.346	241.603
329	35	1147.014	241.043
330	12	558.083	244.250
331	35	1050.786	245.471
332	22	1784.045	245.136
333	10	756.900	244.700
334	28	773.964	245.821
335	37	1763.824	247.149
336	13	1891.885	244.885
337	27	413.204	247.722
338	36	1935.194	250.083
339	26	35	250.538
340	16	168.438	249.562
341	28	1283.786	250.536
342	16	1380.562	249.812
343	16	1133.125	251.750
344	9	81.389	253.056
345	31	1705.242	254.855
346	4	932	253.500
347	38	1314.526	255.500
348	27	1539.019	257.685
349	28	152.964	257.929
350	37	645.473	261.581
351	41	94.110	262.720
352	14	2042.429	261.429
353	29	48.190	263.500
354	27	245.389	264.019
355	8	508.375	262.625
356	32	320.312	265.625
357	7	393.929	263.357
358	25	1297.060	265.100
359	38	1245.342	266.763
360	28	289.857	267.786
361	38	865.895	267.895
362	35	1016.729	268.357
363	38	706.632	271.158
364	39	1404.936	272.321
365	28	2040.929	271.179
366	45	368.500	273.100
367	37	1598.176	272.446
368	6	8.833	271
369	8	964.250	271.875
370	6	1848.333	271.833
371	5	420.100	272.300
372	31	577.435	274.500
373	46	1511.522	275.739
374	11	1894.591	273.864
375	17	1144.912	275.382
376	27	1909.574	276.722
377	29	936.121	277.569
378	11	779.500	277.227
379	26	1062.846	277.962
380	28	816.429	279.036
381	22	874.273	279.818
382	36	260.917	281.833
383	26	734.115	282.346
384	28	1333.179	283.321
385	22	827.682	285
386	26	958.885	285.308
387	27	1827.981	285.426
388	42	1977.095	286.286
389	4	1885	284
390	37	2008.527	286.122
391	8	1029	286.375
392	39	1154.038	287.859
393	31	1746.694	287.629
394	4	22.250	286.250
395	10	571.300	289
396	31	1053.984	291.113
397	29	1612.086	291.672
398	31	1721.016	292.403
399	36	397.528	293.500
400	33	746.924	293.591
401	28	1228.750	293
402	33	78.682	295.106
403	21	642.500	294.833
404	36	656.306	295.583
405	34	1751.235	296.794
406	25	1250.540	297.100
407	32	456.312	297.781
408	18	181	299.500
409	6	264.333	298.333
410	24	1058.417	299.583
411	8	1328	298.375
412	30	1659.267	302.867
413	25	1602.100	303.060
414	26	706.154	304.192
415	23	472.152	305.022
416	28	970	305.679
417	36	518.750	308
418	25	608.980	307.260
419	23	310.457	307.891
420	13	2028.500	306.885
421	24	241.333	308.708
422	38	1400.053	310.316
423	19	639.342	311.921
424	31	1246.855	312.661
425	33	1556.045	312.258
426	25	1686.740	311.940
427	19	807.868	312.289
428	29	866.328	313.914
429	16	998.062	314.375
430	31	121.855	316.048
431	11	1225.773	315.227
432	35	1879.614	316.214
433	17	594.500	316.735
434	5	1361.700	315.100
435	27	1479.944	317.093
436	30	1727.100	318.467
437	34	1825.971	318.088
438	29	316.776	319.293
439	6	1116.333	318.333
440	29	1187.638	320.121
441	24	1963.583	319.667
442	18	147.278	321.444
443	6	716.500	321
444	16	883.125	321.500
445	39	906.038	324.577
446	6	1813.167	323.333
447	38	179.684	326.947
448	19	671.342	325.868
449	20	1414.550	325.650
450	12	236	326.167
451	31	357.081	328.081
452	37	1634.635	327.986
453	30	47.033	330.700
454	16	964.375	329.562
455	20	1165.350	331.200
456	13	482.885	331.577
457	21	978.167	331.357
458	27	1294.611	332.204
459	26	1547.077	332.192
460	28	1462.071	334.607
461	24	270.750	335.375
462	37	543.662	335.797
463	34	779.971	335.441
464	20	1335.750	334.300
465	38	1099.842	336.842
466	36	2025.056	336.306
467	7	345.071	337.071
468	28	1268.036	337.857
469	19	1327.605	337.500
470	42	224.595	340.762
471	20	84.050	340.950
472	5	1105.700	340.900
473	24	1162.875	341.792
474	5	269.700	342.100
475	26	782.846	344.038
476	31	102.500	345.726
477	21	1985.500	344.500
478	10	988.500	345
479	17	1033.794	346.147
480	29	454.328	347.983
481	32	1682.469	348.219
482	55	6.609	350.009
483	32	1397.688	349.500
484	36	1453.778	351.083
485	25	1051.140	351.380
486	11	1525.318	349.591
487	34	1953.147	351.500
488	18	817.444	352.889
489	27	491.278	353.685
490	28	613.536	353.929
491	25	1779.540	353.860
492	40	1595.350	355.575
493	13	888.500	354.885
494	26	1767.500	356
495	16	143.812	356.375
496	13	342.115	356.885
497	26	447.692	357.731
498	7	1133.786	356.643
499	11	836.045	357.864
500	4	1929.500	357.250
501	37	1202.149	361.662
502	34	1363.500	361.353
503	27	908.241	361.907
504	31	390.113	363.081
505	24	783.250	363.792
506	30	1548.367	365.200
507	4	1734.500	363
508	44	1819	365.591
509	17	1424.971	365.618
510	36	665.361	367.139
